['2034', '01-192', '12:26', '0', '1', '118', '6', '10', '0', '8', '7', '6', '0', '0', '4', '31', '1', '0', '1', '0', '1', '3', '1.45025', '345.3', '35.5', '1.34938', '5.50524', '70', '145', '12', '34.6', '1.6', '0.526E-14', '6.0']
['2035', '01-192', '17:15', '0', '1', '96', '6', '3', '0', '7', '15', '11', '0', '0', '24', '2', '1', '0', '1', '0', '1', '3', '1.45079', '345.3', '35.6', '1.34905', '5.50505', '39', '170', '33', '34.1', '1.9', '0.167E-14', '10.5']
['2048', '01-232', '14:31', '0', '2', '176', '10', '6', '0', '7', '15', '0', '1', '0', '3', '31', '1', '0', '1', '0', '1', '3', '1.66517', '355.8', '58.6', '1.50317', '5.43237', '168', '100', '-23', '34.1', '1.9', '0.538E-14', '10.5']
['2049', '01-232', '15:00', '3', '2', '102', '9', '14', '9', '7', '7', '6', '0', '1', '3', '31', '1', '0', '1', '0', '1', '3', '1.66595', '355.8', '58.6', '1.50317', '5.43237', '64', '204', '3', '43.7', '1.6', '0.639E-14', '6.0']
['2051', '01-236', '07:48', '0', '2', '164', '10', '19', '0', '7', '5', '6', '0', '0', '38', '0', '1', '0', '1', '0', '1', '3', '1.68868', '357.2', '60.4', '1.53827', '5.42444', '156', '121', '-20', '34.1', '1.9', '0.286E-13', '10.5']
['2052', '01-236', '19:25', '0', '3', '133', '19', '7', '0', '8', '15', '0', '1', '0', '46', '31', '1', '0', '1', '0', '1', '3', '1.69185', '357.4', '60.6', '1.54310', '5.42337', '113', '166', '-10', '10.4', '1.9', '0.897E-12', '10.5']
['2053', '01-237', '19:46', '0', '2', '144', '13', '21', '0', '9', '9', '6', '0', '0', '41', '0', '1', '0', '1', '0', '1', '3', '1.69820', '357.8', '61.1', '1.55287', '5.42121', '129', '152', '-15', '14.1', '1.9', '0.166E-11', '10.5']
['2054', '01-239', '13:35', '0', '1', '143', '5', '10', '0', '7', '7', '7', '0', '0', '3', '31', '1', '0', '1', '0', '1', '3', '1.70938', '358.5', '61.9', '1.57027', '5.41742', '130', '155', '-14', '43.7', '1.6', '0.170E-14', '6.0']
['2055', '01-240', '04:57', '0', '1', '148', '2', '5', '0', '15', '7', '8', '0', '0', '2', '31', '1', '0', '1', '0', '1', '3', '1.71340', '358.8', '62.1', '1.57657', '5.41605', '138', '148', '-16', '56.0', '2.0', '0.154E-15', '12.5']
['2060', '01-268', '07:20', '3', '3', '143', '22', '27', '18', '5', '5', '5', '0', '1', '46', '0', '1', '0', '1', '0', '1', '3', '1.90205', '16.0', '72.9', '1.88021', '5.34982', '164', '180', '-18', '43.7', '1.6', '0.223E-12', '6.0']
